display_name,source,avg_wait_mins,min_wait_mins,max_wait_mins,service_start,service_end
H1,stop_times.txt,1.0,1.0,1.0,11:00:00,17:00:00
K76,stop_times.txt,1.7,1.0,6.0,06:00:00,23:22:00
4005,stop_times.txt,1.7,1.0,25.0,05:00:00,23:37:00
4002,stop_times.txt,1.8,1.0,8.0,05:46:00,24:00:00
506,stop_times.txt,1.9,1.0,28.0,05:30:00,25:06:00
95M,stop_times.txt,2.1,1.0,45.0,06:00:00,24:35:00
4003,stop_times.txt,2.1,1.0,115.0,05:00:00,24:45:00
7030,stop_times.txt,2.1,1.0,9.0,06:30:00,23:35:00
11M,stop_times.txt,2.2,1.0,7.0,06:00:00,24:06:00
K66,stop_times.txt,2.3,1.0,27.0,06:00:00,23:47:00
54M,stop_times.txt,2.3,1.0,16.0,06:30:00,25:15:00
K73,stop_times.txt,2.4,1.0,37.0,05:50:00,24:26:00
807X,stop_times.txt,2.4,1.0,10.0,06:00:00,24:09:00
88G,stop_times.txt,2.5,1.0,13.0,06:15:00,24:00:00
60P,frequencies.txt,2.5,2.0,3.0,07:45:00,18:47:00
51S,stop_times.txt,2.5,1.0,48.0,05:00:00,23:55:00
29B,stop_times.txt,2.6,1.0,7.0,07:00:00,23:45:00
96B,stop_times.txt,2.6,1.0,11.0,06:00:00,24:46:00
20P,stop_times.txt,2.6,1.0,15.0,06:00:00,24:00:00
23K,stop_times.txt,2.7,1.0,12.0,05:30:00,23:50:00
K12,stop_times.txt,2.7,1.0,8.0,06:00:00,22:11:00
481,stop_times.txt,2.8,1.0,13.0,06:00:00,23:45:00
37M,frequencies.txt,2.8,1.0,25.0,05:00:00,25:30:00
812A,stop_times.txt,2.8,1.0,15.0,06:00:00,24:06:00
Mong Kok - Huanggang,stop_times.txt,2.9,1.0,56.0,02:00:00,26:53:00
4001,stop_times.txt,2.9,1.0,180.0,05:42:00,25:02:00
88D,stop_times.txt,2.9,1.0,75.0,05:30:00,26:30:00
52A,frequencies.txt,3.0,3.0,3.0,05:30:00,25:00:00
407B,stop_times.txt,3.0,3.0,3.0,07:00:00,08:00:00
401,stop_times.txt,3.2,1.0,12.0,06:15:00,22:15:00
86M,stop_times.txt,3.2,1.0,19.0,05:50:00,23:49:00
102,stop_times.txt,3.3,1.0,32.0,05:25:00,24:57:00
807K,stop_times.txt,3.3,1.0,16.0,05:45:00,24:27:00
44A,stop_times.txt,3.4,1.0,9.0,04:40:00,24:39:00
403A,stop_times.txt,3.4,1.0,12.0,06:00:00,24:03:00
503K,stop_times.txt,3.5,1.0,30.0,06:00:00,22:38:00
92M,stop_times.txt,3.5,1.0,15.0,06:05:00,24:04:00
59X,stop_times.txt,3.5,1.0,48.0,05:05:00,24:53:00
32A,stop_times.txt,3.6,1.0,7.0,06:48:00,23:45:00
28K,stop_times.txt,3.6,1.0,8.0,05:45:00,23:42:00
112A,stop_times.txt,3.7,1.0,12.0,06:00:00,24:30:00
88D,frequencies.txt,3.7,3.0,15.0,05:30:00,26:30:00
Lok Ma Chau - Huanggang,stop_times.txt,3.7,1.0,5.0,06:30:00,30:30:00
312,stop_times.txt,3.8,1.0,9.0,06:00:00,23:46:00
308M,stop_times.txt,3.8,1.0,17.0,06:15:00,23:17:00
211,stop_times.txt,3.9,1.0,45.0,05:30:00,25:10:00
29A,stop_times.txt,3.9,2.0,35.0,07:00:00,23:45:00
211,frequencies.txt,4.0,2.0,12.0,05:30:00,25:10:00
35,stop_times.txt,4.0,1.0,60.0,05:00:00,23:14:00
407A,stop_times.txt,4.0,1.0,13.0,08:15:00,20:30:00
810,stop_times.txt,4.0,2.0,37.0,06:00:00,23:48:00
50,stop_times.txt,4.1,1.0,195.0,06:00:00,24:15:00
69X,stop_times.txt,4.1,1.0,220.0,05:15:00,24:50:00
50,frequencies.txt,4.2,2.0,30.0,06:00:00,24:15:00
63K,frequencies.txt,4.2,3.0,5.0,06:00:00,24:00:00
K18,stop_times.txt,4.3,1.0,12.0,06:00:00,25:05:00
502,stop_times.txt,4.3,1.0,30.0,06:00:00,23:00:00
K53,stop_times.txt,4.3,1.0,15.0,06:00:00,24:09:00
803,stop_times.txt,4.3,1.0,174.0,06:00:00,23:30:00
Wan Chai - Huanggang,stop_times.txt,4.3,1.0,60.0,01:00:00,25:59:00
96M,stop_times.txt,4.3,1.0,19.0,05:30:00,24:11:00
49M,stop_times.txt,4.3,1.0,240.0,06:00:00,24:00:00
403P,stop_times.txt,4.5,1.0,16.0,06:10:00,23:35:00
65M,stop_times.txt,4.5,4.0,6.0,07:00:00,22:00:00
19A,frequencies.txt,4.5,4.0,5.0,06:45:00,24:00:00
95A,stop_times.txt,4.5,1.0,6.0,06:30:00,24:00:00
39C,stop_times.txt,4.6,1.0,10.0,06:30:00,24:04:00
105,stop_times.txt,4.6,1.0,15.0,06:00:00,24:22:00
K65,stop_times.txt,4.6,1.0,12.0,06:00:00,24:08:00
K51,stop_times.txt,4.6,1.0,20.0,05:45:00,24:21:00
90M,frequencies.txt,4.6,4.0,6.0,05:45:00,24:00:00
5001,stop_times.txt,4.7,1.0,9.0,07:30:00,23:00:00
K68,stop_times.txt,4.7,1.0,20.0,06:00:00,23:26:00
51S,frequencies.txt,4.8,4.0,15.0,05:00:00,23:55:00
37M,stop_times.txt,4.8,1.0,171.0,05:00:00,25:30:00
37A,stop_times.txt,4.8,1.0,84.0,05:00:00,24:00:00
313,stop_times.txt,4.8,1.0,28.0,05:55:00,23:54:00
501A,stop_times.txt,4.9,4.0,10.0,06:35:00,10:23:00
481A,stop_times.txt,4.9,2.0,18.0,07:00:00,23:28:00
118,stop_times.txt,4.9,1.0,36.0,06:02:00,24:55:00
407,stop_times.txt,4.9,1.0,157.0,06:00:00,23:31:00
96,stop_times.txt,5.0,1.0,115.0,05:30:00,23:49:00
7052,frequencies.txt,5.0,5.0,5.0,06:00:00,23:50:00
611A,frequencies.txt,5.0,5.0,5.0,06:30:00,09:00:00
10M,frequencies.txt,5.0,3.0,7.0,06:15:00,24:01:00
75A,stop_times.txt,5.0,5.0,5.0,07:00:00,20:00:00
93C,stop_times.txt,5.0,5.0,5.0,07:10:00,07:53:00
23P,stop_times.txt,5.0,4.0,6.0,07:00:00,19:00:00
7051,frequencies.txt,5.0,5.0,5.0,07:00:00,22:50:00
4C,frequencies.txt,5.0,5.0,5.0,06:00:00,24:00:00
302,stop_times.txt,5.0,1.0,45.0,05:30:00,24:51:00
88F,stop_times.txt,5.0,1.0,79.0,06:30:00,23:35:00
87M,frequencies.txt,5.1,4.0,10.0,06:10:00,23:50:00
70,stop_times.txt,5.2,1.0,60.0,05:20:00,24:31:00
20C,stop_times.txt,5.3,1.0,56.0,05:00:00,25:51:00
K54A,stop_times.txt,5.3,2.0,15.0,05:45:00,24:15:00
52B,stop_times.txt,5.3,1.0,16.0,05:50:00,20:34:00
38M,frequencies.txt,5.3,2.0,10.0,06:30:00,24:34:00
8P,stop_times.txt,5.4,1.0,106.0,05:30:00,25:19:00
404M,stop_times.txt,5.4,1.0,10.0,06:00:00,23:30:00
59M,stop_times.txt,5.4,1.0,87.0,05:30:00,24:49:00
33M,frequencies.txt,5.4,2.0,8.0,06:25:00,24:30:00
66K,stop_times.txt,5.5,1.0,10.0,06:25:00,23:36:00
13A,stop_times.txt,5.5,2.0,17.0,07:30:00,23:00:00
811P,stop_times.txt,5.5,5.0,6.0,06:00:00,21:04:00
811P,frequencies.txt,5.5,5.0,6.0,06:00:00,21:04:00
60K,frequencies.txt,5.5,4.0,6.0,05:50:00,24:06:00
44,stop_times.txt,5.5,1.0,116.0,05:00:00,25:38:00
39,stop_times.txt,5.6,1.0,218.0,05:20:00,23:33:00
31M,stop_times.txt,5.6,1.0,165.0,05:40:00,24:40:00
59S,frequencies.txt,5.6,3.0,8.0,06:30:00,22:30:00
87M,stop_times.txt,5.6,1.0,90.0,06:10:00,23:50:00
60X,stop_times.txt,5.7,1.0,60.0,05:40:00,24:52:00
20X,stop_times.txt,5.7,1.0,146.0,06:00:00,24:10:00
803,frequencies.txt,5.7,5.0,15.0,06:00:00,23:30:00
83B,stop_times.txt,5.7,3.0,7.0,06:30:00,21:04:00
K17,stop_times.txt,5.7,2.0,12.0,06:00:00,25:07:00
24,stop_times.txt,5.7,1.0,143.0,05:30:00,23:55:00
51,stop_times.txt,5.7,1.0,227.0,05:00:00,24:06:00
23C,stop_times.txt,5.7,1.0,28.0,06:15:00,23:12:00
90P,stop_times.txt,5.7,1.0,20.0,06:00:00,23:15:00
60,frequencies.txt,5.8,3.0,15.0,06:30:00,23:00:00
96B,frequencies.txt,5.8,2.0,20.0,06:00:00,24:46:00
42A,stop_times.txt,5.8,1.0,72.0,05:20:00,24:25:00
96A,stop_times.txt,5.9,1.0,14.0,07:00:00,22:30:00
B3X,stop_times.txt,5.9,1.0,63.0,06:15:00,23:19:00
91A,stop_times.txt,5.9,1.0,44.0,06:30:00,23:30:00
N39,stop_times.txt,6.0,6.0,6.0,01:00:00,02:00:00
609B,frequencies.txt,6.0,6.0,6.0,06:30:00,20:00:00
18M,frequencies.txt,6.0,6.0,6.0,06:05:00,24:35:00
19A,stop_times.txt,6.0,6.0,6.0,06:45:00,24:00:00
611S,stop_times.txt,6.0,6.0,6.0,06:30:00,09:00:00
4S,stop_times.txt,6.0,6.0,6.0,07:00:00,23:30:00
20M,stop_times.txt,6.0,1.0,239.0,06:15:00,24:45:00
95,stop_times.txt,6.1,1.0,185.0,05:45:00,24:10:00
60P,stop_times.txt,6.1,2.0,223.0,07:45:00,18:47:00
87A,stop_times.txt,6.1,1.0,20.0,06:05:00,22:00:00
49M,frequencies.txt,6.1,3.0,60.0,06:00:00,24:00:00
4003,frequencies.txt,6.1,4.0,10.0,05:00:00,24:45:00
812,stop_times.txt,6.2,1.0,14.0,06:30:00,23:05:00
116,stop_times.txt,6.2,1.0,75.0,05:55:00,25:21:00
20M,frequencies.txt,6.2,4.0,30.0,06:15:00,24:45:00
11M,frequencies.txt,6.2,3.0,9.0,06:00:00,24:06:00
50A,stop_times.txt,6.3,2.0,10.0,05:40:00,23:00:00
616S,stop_times.txt,6.3,2.0,15.0,01:00:00,25:43:00
51M,frequencies.txt,6.3,4.0,8.0,06:20:00,24:00:00
K75P,stop_times.txt,6.3,2.0,15.0,05:20:00,23:57:00
74X,stop_times.txt,6.3,1.0,164.0,05:15:00,24:53:00
19M,frequencies.txt,6.3,4.0,8.0,06:45:00,24:30:00
48M,frequencies.txt,6.3,3.0,10.0,06:12:00,24:00:00
62,frequencies.txt,6.3,5.0,8.0,06:15:00,25:20:00
15,stop_times.txt,6.4,1.0,210.0,05:30:00,25:21:00
140M,stop_times.txt,6.4,1.0,30.0,06:00:00,23:00:00
601P,stop_times.txt,6.4,1.0,25.0,06:50:00,19:58:00
99X,stop_times.txt,6.4,2.0,10.0,07:45:00,08:50:00
4002,frequencies.txt,6.4,4.0,10.0,05:46:00,24:00:00
44A,frequencies.txt,6.4,2.0,30.0,04:40:00,24:39:00
29B,frequencies.txt,6.4,5.0,15.0,07:00:00,23:45:00
87,stop_times.txt,6.5,1.0,35.0,06:15:00,23:00:00
804,frequencies.txt,6.5,5.0,10.0,06:00:00,23:00:00
K52,stop_times.txt,6.5,1.0,20.0,06:00:00,24:25:00
273B,stop_times.txt,6.6,1.0,108.0,05:30:00,24:30:00
2X,stop_times.txt,6.6,1.0,120.0,05:25:00,25:38:00
409S,frequencies.txt,6.6,3.0,15.0,05:50:00,23:15:00
K75S,stop_times.txt,6.6,4.0,11.0,07:00:00,20:01:00
89M,stop_times.txt,6.6,1.0,216.0,06:30:00,24:30:00
948A,stop_times.txt,6.7,1.0,20.0,06:40:00,09:27:00
37P,frequencies.txt,6.7,5.0,8.0,07:35:00,08:15:00
948P,stop_times.txt,6.7,2.0,10.0,07:30:00,09:01:00
213S,stop_times.txt,6.8,1.0,51.0,06:00:00,09:00:00
S1,stop_times.txt,6.8,1.0,68.0,05:30:00,24:00:00
960,stop_times.txt,6.8,1.0,117.0,05:00:00,25:46:00
